Time,Truth,Reconstruction
1.46,-0.5190101724821147,-0.5133650124848352
1.47,-0.6042191623174636,-0.6483305038989169
1.48,-0.6990128386438271,-0.7352812402954396
1.49,-0.8013339367885578,-0.7628682571481692
1.5,-0.9097113792596425,-0.7291058274872886
1.51,-1.0231730459403026,-0.6410695090641827
1.52,-1.1411682164107018,-0.5135929698787888
1.53,-1.263500133828221,-0.36731220694068134
1.54,-1.3902685368645107,-0.22637117899264114
1.55,-1.521821628966159,-0.11599885595126044
1.56,-1.658716734299094,-0.06006597761174116
1.57,-1.8016887767202072,-0.07868647541211665
1.58,-1.9516256753136612,-0.18595862893342416
1.59,-2.1095497508605794,-0.3880167422118897
1.6,-2.276604262756135,-0.6816343154620698
1.61,-2.4540442309909616,-1.0536375989670443
1.62,-2.643230731860782,-1.481331810593249
1.6300000000000001,-2.845627880146908,-1.9340185783161041
1.6400000000000001,-3.062801716917821,-2.3755216719357004
1.6500000000000001,-3.2964202035960715,-2.767476911594318
1.6600000000000001,-3.5482534722317833,-3.0730161681957076
1.67,-3.8201733911974936,-3.260408687106513
1.68,-4.114151366150466,-3.3062258059015366
1.69,-4.432253098376086,-3.197664170328244
1.7,-4.776628755884007,-2.9337832751547896
1.71,-5.149496665594846,-2.5255635130592586
1.72,-5.553118196669007,-1.9948455665732026
1.73,-5.989760966844382,-1.3723466694240187
1.74,-6.461646862316214,-0.6950447151236694
1.75,-6.970880624925106,-0.003265964357800216
1.76,-7.5193539550450295,0.6621959910639996
1.77,-8.108619263193724,1.2626564987433637
1.78,-8.739726486245333,1.7636240354777832
1.79,-9.413015946437035,2.13630501988046
1.8,-10.127860360183416,2.358536950543086
1.81,-10.882350222990981,2.415231578280496
1.82,-11.67291950400745,2.2984524861164046
1.83,-12.493913662821862,2.007259571388484
1.84,-13.337110396413742,1.5474304748445333
1.85,-14.19121622718154,0.9311257335467649
1.86,-15.041379833419807,0.17651337556851465
1.87,-15.868785996812168,-0.6926769198770115
1.8800000000000001,-16.65042087164568,-1.6477295479615235
1.8900000000000001,-17.359126256583856,-2.655715894934246
1.9000000000000001,-17.96408059340555,-3.680517918908317
1.9100000000000001,-18.431846598096037,-4.68412549026702
1.92,-18.728095838509557,-5.628191918470855
1.93,-18.820045612020596,-6.475793658019533
1.94,-18.679516229028167,-7.193307991395598
1.95,-18.286345747320695,-7.752298327920213
1.96,-17.631715930925886,-8.131278547755949
1.97,-16.72080332722292,-8.317212179897766
1.98,-15.574140253037415,-8.306588487374816
1.99,-14.227204619795287,-8.105911313585276
2.0,-12.728059851125769,-7.731450055173428
2.0100000000000002,-11.133273919572446,-7.208150079680072
2.02,-9.502740089478168,-6.567691422329426
