Time,Truth,Reconstruction
1.47,24.581244543244907,24.79326043907744
1.48,23.951834029277478,24.04201756660044
1.49,23.340213530825782,23.320292298434172
1.5,22.745933071221437,22.65539152474053
1.51,22.16856250320627,22.068231085364783
1.52,21.60770857729763,21.571149777325974
1.53,21.063025007645464,21.167252178943972
1.54,20.534218230282008,20.85105703034843
1.55,20.021050818923015,20.610018785598367
1.56,19.5233439622133,20.426445301217246
1.57,19.040979991619963,20.279425426397147
1.58,18.57390565580612,20.14654035617928
1.59,18.122136640703147,20.005292268085224
1.6,17.685763712834092,19.834296096062847
1.61,17.26496079846383,19.61432992707025
1.62,16.859995288163613,19.329335209263412
1.6300000000000001,16.471240863811474,18.967418918335248
1.6400000000000001,16.09919317384898,18.521854775933253
1.6500000000000001,15.744488725403993,17.992023559025203
1.6600000000000001,15.407927412194924,17.384183456394116
1.67,15.090499148396171,16.71192840520942
1.68,14.793415123255949,15.996182605648261
1.69,14.51814421925226,15.264598582281575
1.7,14.266455134266737,14.550276410400397
1.71,14.040464696404335,13.889800015524013
1.72,13.84269273156375,13.320683767266422
1.73,13.676123601184052,12.878424606755038
1.74,13.544274119511812,12.593444143160573
1.75,13.451266917997318,12.488263884516202
1.76,13.401907360977104,12.575270716426877
1.77,13.401760721322047,12.855391013544056
1.78,13.45722436736957,13.317900957476576
1.79,13.575587051501522,13.941467416777765
1.8,13.765063891874204,14.696355796201962
1.81,14.034791217078178,15.547581637890165
1.82,14.394760128342055,16.458646150044867
1.83,14.855661680463943,17.395404379424203
1.84,15.428610627687132,18.329584095653356
1.85,16.12470994689236,19.241509938411358
1.86,16.954416868341507,20.121686688791527
1.87,17.92667592209131,20.971043331014453
1.8800000000000001,19.04779949283491,21.79981392677253
1.8900000000000001,20.32010597650038,22.625206507808432
1.9000000000000001,21.740373500804687,23.468162234581897
1.9100000000000001,23.298233994132175,24.349614101236455
1.92,24.97471275602274,25.286705936652687
1.93,26.741197832504174,26.289426436037626
1.94,28.559175719503962,27.358056189715448
1.95,30.381061423780608,28.481730490173874
1.96,32.15234967504326,29.638300849981192
1.97,33.8151065290836,30.795545091933803
1.98,35.31252974419745,31.913637142541248
1.99,36.594000336518846,32.94864860149298
2.0,37.619827259532286,33.85672215559847
2.0100000000000002,38.36484832739039,34.5984458651612
2.02,38.82023731343967,35.142888936518
2.0300000000000002,38.99324012126811,35.4707587766229
2.04,38.90500726152395,35.57622463778
2.05,38.58706371867182,35.467126834157185
2.06,38.07715389126645,35.163530983743584
2.07,37.415187716708644,34.69485140716662
2.08,36.63983909817653,34.096003077210256
2.09,35.78609603886652,33.40319731430812
2.1,34.88381935591182,32.65003982531326
2.11,33.957189300167094,31.864512868523455
2.12,33.02482500596253,31.067244277879016
2.13,32.10033990950411,30.271222760903196
2.14,31.193122891377595,29.482859488914546
2.15,30.309184729642418,28.704068223820826
2.16,29.451963370038147,27.93487817729905
2.17,28.623028313133425,27.176028124571438
2.18,27.822659537510514,26.431022147527624
2.19,27.050299625454933,25.707245788901027
2.2,26.304891126199163,25.01592298232585
2.21,25.585117353325575,24.370907838431986
2.22,24.889566271718017,23.786517196920666
2.23,24.216835868238594,23.274786956925208
