0,1,2
-4.3549476,-8.024968,10.352939
-4.738388,-8.740897,10.456547
-5.1561813,-9.513106,10.626898
-5.6104546,-10.342199,10.874582
-6.1031194,-11.2273,11.211694
-6.6357317,-12.165509,11.651836
-7.209297,-13.151253,12.210021
-7.8240376,-14.175515,12.90239
-8.479094,-15.224986,13.745711
-9.172177,-16.281166,14.756545
-9.899173,-17.319538,15.950021
-10.653705,-18.308935,17.338135
-11.426706,-19.211329,18.927572
-12.206039,-19.98231,20.71709
-12.976239,-20.572557,22.694672
-13.718487,-20.930546,24.834806
-14.410906,-21.006655,27.09647
-15.029281,-20.75851,29.422462
-15.548267,-20.157076,31.74086
-15.943055,-19.192545,33.96901
-16.191383,-17.878796,36.020123
-16.275656,-16.255098,37.811745
-16.184856,-14.384239,39.274803
-15.915918,-12.346876,40.361404
-15.474266,-10.233037,41.04976
-14.873436,-8.132353,41.345173
-14.133811,-6.1249833,41.277134
-13.28072,-4.2748594,40.89331
-12.342221,-2.6261203,40.2521
-11.346924,-1.2027731,39.415226
-10.3221035,-0.010885193,38.441593
-9.292297,0.9576876,37.383106
-8.278419,1.7210437,36.28243
-7.2973495,2.3032105,35.17246
-6.3619328,2.7308042,34.07692
-5.481234,3.0305479,33.011696
-4.660978,3.2276177,31.986385
-3.9040644,3.3446884,31.005861
-3.2110991,3.401501,30.071657
-2.580898,3.4147933,29.183088
-2.0109367,3.3984537,28.338133
-1.4977354,3.3637993,27.534061
-1.0371803,3.3199067,26.76788
-0.6247797,3.2739506,26.036608
-0.25586548,3.2315266,25.337465
0.07425428,3.1969435,24.667961
0.37018344,3.1734803,24.025923
0.6363588,3.163604,23.409515
0.8769983,3.1691592,22.817225
1.0960702,3.1915207,22.247824
1.2972785,3.2317243,21.70036
1.4840615,3.290571,21.17412
1.6595984,3.3687134,20.668612
1.8268236,3.4667232,20.183544
1.9884453,3.5851471,19.718815
2.1469662,3.7245479,19.27451
2.304707,3.8855374,18.85089
2.4638286,4.068799,18.448412
2.6263554,4.275103,18.067722
2.7941976,4.5053153,17.709682
2.96917,4.7603965,17.375385
3.153011,5.041397,17.06618
3.3473973,5.349444,16.783695
3.5539556,5.685716,16.52989
3.7742717,6.0514145,16.307072
4.009894,6.447717,16.117947
4.2623324,6.8757215,15.965669
4.533051,7.3363686,15.853875
4.8234515,7.8303523,15.786733
5.1348534,8.357998,15.768978
5.4684567,8.919119,15.80594
5.825299,9.512845,15.903548
6.2061934,10.137411,16.068317
6.611656,10.789923,16.307291
7.041813,11.466081,16.627918
7.496289,12.159891,17.037882
7.97408,12.8633585,17.544813
8.473408,13.566196,18.155905
8.991563,14.255578,18.877396
9.524746,14.915986,19.713907
10.067907,15.52921,20.667658
10.614626,16.07456,21.737555
11.157021,16.529385,22.918236
11.685743,16.869932,24.199156
12.190073,17.072617,25.563826
12.658134,17.115644,26.989391
13.077274,16.980955,28.446728
13.434589,16.65625,29.901173
13.717587,16.136906,31.314018
13.91496,15.427429,32.644722
14.017379,14.54216,33.853653
14.018232,13.504981,34.905098
13.914227,12.347968,35.77008
13.705735,11.1090765,36.428596
13.396877,9.829167,36.8709
12.995277,8.548805,37.097656
12.511558,7.3052826,37.119064
11.958622,6.1302595,36.95302
11.350823,5.048258,36.622856
10.703109,4.076074,36.15486
10.030232,3.2230086,35.57605
9.346103,2.4917135,34.91232
8.6632805,1.8794171,34.18715
7.992663,1.3792899,33.420837
7.343317,0.9817778,32.63021
6.7224545,0.67577523,31.82867
6.135509,0.44958174,31.026482
5.586284,0.29162425,30.231209
5.077148,0.19096129,29.448183
4.6092467,0.13760123,28.680965
4.1827188,0.12267362,27.931767
3.7969034,0.13849084,27.201807
3.4505274,0.1785334,26.491602
3.1418726,0.23738566,25.801195
2.868919,0.31064245,25.130331
2.6294632,0.39480177,24.47857
2.4212184,0.48715347,23.845387
2.2418911,0.5856716,23.230219
2.0892422,0.6889136,22.63252
1.961133,0.79592973,22.051771
1.8555582,0.90618277,21.487495
1.7706697,1.0194792,20.93927
1.704791,1.1359105,20.406723
1.6564252,1.2558044,19.889545
1.6242597,1.379686,19.387474
1.6071641,1.5082452,18.900307
1.6041889,1.6423137,18.427898
1.6145598,1.7828453,17.970158
1.6376723,1.9309045,17.527061
1.6730859,2.087657,17.098652
1.7205179,2.2543662,16.685043
1.7798367,2.4323902,16.286438
1.8510575,2.623184,15.903134
1.9343374,2.828301,15.535541
2.0299711,3.0493968,15.184193
2.138388,3.2882326,14.849776
2.260149,3.5466797,14.533154
2.3959458,3.82672,14.235388
2.5465982,4.1304464,13.957784
2.7130518,4.4600587,13.701923
2.8963766,4.817854,13.469718
3.0977638,5.206208,13.263458
3.3185196,5.6275516,13.085877
3.5600586,6.0843244,12.940222
3.8238907,6.5789223,12.830328
4.1116056,7.1136146,12.760703
4.4248466,7.6904354,12.736617
4.765277,8.31104,12.764186
5.134535,8.97652,12.850461
5.534168,9.687161,13.003488
5.9655547,10.442153,13.232351
6.4297967,11.23922,13.547163
6.9275866,12.07419,13.958982
7.459042,12.940502,14.47962
8.023508,13.828644,15.121314
8.619321,14.725588,15.896194
9.243542,15.61424,16.815525
9.89167,16.473007,17.88866
10.557354,17.275587,19.12172
11.232115,17.991123,20.515963
11.905154,18.584892,22.066015
12.56326,19.019707,23.758036
13.190906,19.258099,25.568163
13.770583,19.265339,27.461557
14.283423,19.013103,29.392467
14.710127,18.483402,31.305664
15.032167,17.672174,33.139465
15.233177,16.59185,34.830246
15.30037,15.27213,36.31795
15.225788,13.758599,37.55186
15.007199,12.1090975,38.495525
14.64847,10.388371,39.130028
14.159346,8.661897,39.45492
13.554666,6.9899483,39.486774
12.853144,5.4228883,39.2558
12.075903,3.998268,38.801285
11.244963,2.7398877,38.166843
10.381872,1.6585613,37.3961
9.506607,0.7540692,36.529434
8.636791,0.017726656,35.6019
7.787242,-0.56493783,34.642223
6.969811,-1.0117543,33.672737
6.1934447,-1.3419273,32.70988
5.4644065,-1.5745602,31.76504
4.786591,-1.7276577,30.845522
4.1618896,-1.817532,29.955519
3.590554,-1.858515,29.096941
3.0715482,-1.8628918,28.270132
2.6028624,-1.8409743,27.474411
2.1817849,-1.8012619,26.708498
1.8051337,-1.7506425,25.970798
1.4694432,-1.6946096,25.259617
1.1711135,-1.637474,24.57327
0.9065261,-1.5825619,23.910183
0.67213076,-1.5323949,23.268913
0.46450755,-1.4888467,22.648172
0.28040946,-1.4532799,22.046825
0.11678874,-1.4266616,21.463884
-0.029189317,-1.4096624,20.898487
-0.16014242,-1.4027371,20.34989
-0.27847487,-1.4061936,19.817453
-0.3863866,-1.4202473,19.300621
-0.48588613,-1.4450678,18.798914
-0.5788062,-1.4808145,18.311928
-0.6668213,-1.5276679,17.839315
-0.75146544,-1.585853,17.380785
-0.83415127,-1.6556593,16.936106
-0.9161882,-1.7374574,16.505098
-0.99880093,-1.8317119,16.087639
-1.0831467,-1.9389936,15.68367
-1.1703326,-2.059989,15.293195
-1.2614316,-2.1955097,14.91629
-1.3574982,-2.3465009,14.553118
-1.4595832,-2.5140483,14.203934
-1.5687481,-2.699387,13.869106
-1.6860781,-2.9039068,13.54913
-1.8126953,-3.1291595,13.244654
-1.9497706,-3.3768637,12.956501
-2.0985353,-3.648908,12.685705
-2.2602918,-3.9473524,12.433549
-2.4364226,-4.2744255,12.201604
-2.6283982,-4.6325173,11.991784
-2.8377845,-5.024162,11.806411
-3.0662448,-5.452014,11.648277
-3.315542,-5.9188094,11.520731
-3.5875323,-6.4273086,11.427769
-3.8841565,-6.980213,11.374129
-4.2074203,-7.5800567,11.365413
-4.5593667,-8.229052,11.408187
-4.9420295,-8.928892,11.510104
-5.357376,-9.680489,11.680005
-5.807222,-10.483638,11.927996
-6.29312,-11.33661,12.265477
-6.8162174,-12.23564,12.705105
